;figi;ticker;share_name;datetime;last_price;sell_flag;buy_flag;strategy_id;profit;currency
3599;BBG004730JJ5;MOEX;Московская Биржа;2017-10-24;116.53;0;1;sma;0;rub
3600;BBG000BJD7C2;FARO;FARO Technologies Inc;2017-10-24;59.55;0;1;sma;0;usd
3601;BBG000BH6360;DLX;Deluxe Corp;2017-10-25;72.977;0;1;sma;0;usd
3602;BBG000FSMWC3;WSM;Williams-Sonoma Inc;2017-10-25;50.7794;0;1;sma;0;usd
3603;BBG000BKY1G5;WELL;Welltower REIT;2017-10-25;53.14;1;0;sma;0;usd
3604;BBG007HTCQT0;MOMO;Hello Group;2017-10-25;31.97;1;0;sma;0;usd
3605;BBG000D2ZK61;REX;REX American Resources Corp;2017-10-25;89.32;1;0;sma;0;usd
3606;BBG0047315D0;SNGS;Сургутнефтегаз;2017-10-25;29.335;0;1;sma;0;rub
3607;BBG000DN4ZT1;TCBI;Texas Capital Bancshares Inc;2017-10-25;94.4;0;1;sma;0;usd
3608;BBG000BL0T06;UFPI;UUFP Industries, Inc;2017-10-25;33.2043;0;1;sma;0;usd
3609;BBG000BFQYY3;CL;Colgate-Palmolive;2017-10-25;71.02;1;0;sma;0;usd
3610;BBG000GRZDV1;STRA;Strategic Education Inc;2017-10-26;99.9038;0;1;sma;0;usd
3611;BBG000R7Z112;DAL;Delta Air Lines;2017-10-27;52.05;0;1;sma;0;usd
3612;BBG006Q0HY77;CFG;Citizens Financial Group;2017-10-30;45.75;0;1;sma;0;usd
3613;BBG000BQQ2S6;OXY;Occidental Petroleum;2017-10-30;74.76;0;1;sma;0;usd
3614;BBG000BT0CM2;SIVB;SVB Financial Group;2017-10-31;259.53;0;1;sma;0;usd
3615;BBG000BB88K4;GPI;Group 1 Automotive Inc;2017-10-31;72.8831;0;1;sma;0;usd
3616;BBG001KY3845;ALSN;Allison Transmission Holdings;2017-10-31;37.4288;0;1;sma;0;usd
3617;BBG000H01H92;AMCX;AMC Networks Inc;2017-10-31;51.19;1;0;sma;0;usd
3618;BBG000BPD168;MRK;Merck;2017-10-31;54.72;1;0;sma;0;usd
3619;BBG002V87SD0;GMED;Globus Medical Inc;2017-10-31;51.55;0;1;sma;0;usd
3620;BBG00475KHX6;TRNFP;Транснефть - привилегированные акции;2017-11-01;180400.0;0;1;sma;0;rub
3621;BBG000BSBZH7;ROST;Ross Stores;2017-11-01;76.84;0;1;sma;0;usd
3622;BBG000DH7JK6;PEP;PepsiCo;2017-11-01;112.68;1;0;sma;0;usd
3623;BBG000J2XL74;PM;Philip Morris;2017-11-02;105.63;1;0;sma;0;usd
3624;BBG000BGKTF9;COF;Capital One;2017-11-02;99.35;0;1;sma;0;usd
3625;BBG000BZ9223;EOG;EOG Resources;2017-11-02;98.63;0;1;sma;0;usd
3626;BBG009NRSWJ4;Z;Zillow Group Inc;2017-11-02;59.0;0;1;sma;0;usd
3627;BBG000D13GN8;ZG;Zillow Group Inc;2017-11-02;58.49;0;1;sma;0;usd
