;amount_of_sma_rows
BBG000D54HT0;164
BBG000BDDNH5;2425
BBG000BFSND8;186
BBG000DR0RZ7;65
BBG000H001V3;462
BBG000MDCQC2;326
BBG000BCWKD6;0
BBG000BVWLJ6;2432
BBG000BCT197;2432
BBG000BKY1G5;2422
BBG00286S4N9;2363
BBG0026ZFZC4;186
BBG000DJN7L9;2431
BBG000BL16Q7;326
BBG000CSY9H9;2432
BBG000BB99S3;2432
BBG0059JSF49;0
BBG000FSMWC3;2432
BBG000KHWT55;2433
BBG0016SSV00;456
BBG001LWHLJ8;0
BBG00CWTTQ41;1248
BBG000BPH299;131
BBG000DSQLQ0;462
BBG000BMX289;2456
BBG000BHP8J4;2432
BBG000FC7366;523
BBG005P7Q881;1965
BBG000MXH9C1;2432
BBG000J2XL74;2433
BBG000BFQYY3;2432
BBG000DLVDK3;0
BBG000BHZ5J9;2432
BBG000S9XXB8;462
BBG000RJWGC4;2397
BBG000BN56Q9;1145
BBG000BG14P4;0
BBG002B04MT8;555
BBG000FXW512;2432
BBG000BPGQ60;276
BBG000BW29L1;2431
BBG000BQQH30;2432
BBG000LV0836;186
BBG000BCD3D5;2432
BBG000BLXZN1;2432
BBG000C4LN67;2431
BBG002GBMZG4;462
BBG000MTDW24;406
BBG000BGM5P8;0
BBG000M44VW8;2431
BBG000BLMZK6;2432
BBG000F5YH15;608
BBG000DRM643;2432
BBG00LW7YK82;276
BBG00DL8NMV2;2428
BBG001QYNR63;1886
BBG000DPZHS3;527
BBG000WG2LQ1;462
BBG00Y61SZL5;0
BBG002DZS299;513
BBG000BWVSR1;2432
BBG000BWB7V4;324
BBG000VLBCQ1;276
BBG000CGC1X8;2444
BBG000DD0489;223
BBG009J8K7M0;186
BBG00DBBGRX1;58
BBG000C3W281;2432
BBG002BC7WC5;462
BBG000DSMS70;2432
BBG000GQ7K93;0
BBG00D8JC882;462
BBG000BPYD87;186
BBG0064N2T78;186
BBG000BVP5P2;2417
BBG000F6ZWH2;2432
BBG00741Y1N2;0
BBG000C7P5M7;2413
BBG007DHGNJ4;8
BBG007HTCQT0;1703
BBG00XV2T033;0
BBG000DX9JV7;181
BBG00BVR0D02;276
BBG000BFJT36;2431
BBG000BB7SX7;186
BBG0145FSNR1;0
BBG000BWCKB6;2430
BBG0022FDRY8;524
BBG000DN7P92;2432
BBG000BHYT80;0
BBG000BLW530;2432
BBG000C23PB0;326
BBG00ZNRRJM2;38
BBG000LYF3S8;131
BBG000C45984;2432
BBG000BQNNP6;23
BBG008HD3V85;881
BBG000VC0FC1;186
BBG0056655S1;1967
BBG0081NLHR0;223
BBG008NXC572;1549
BBG000BWPR54;2431
BBG000BPDXF8;324
BBG000H9LNX1;2432
BBG0122M8031;0
BBG0029ZX840;562
BBG000CB8Q50;2432
BBG000BJNGN9;186
BBG000CKVSG8;186
BBG000M65M61;2442
BBG000BVV7G1;2432
BBG011MCM288;15
BBG000BYZ0Q5;324
BBG000BNMMJ3;2426
BBG0077VS2C0;1562
BBG013QNJHP8;0
BBG000TY1CD1;848
BBG005497GZ3;0
BBG000H5G6L5;65
BBG00Y1DFV91;0
BBG0105XBRH0;0
BBG001DCCGR8;2432
BBG000BP1Q11;2432
BBG000BLK267;326
BBG005MX5GZ2;461
BBG000BKD3K9;462
BBG000BB72K8;2431
BBG00BGKYH17;1414
BBG000N7QR55;178
BBG000BS3CD1;59
BBG00GVXMJ74;59
BBG000F2XXP2;2432
BBG000PQ4W72;2432
BBG000HXNN20;0
BBG000BKZTP3;2432
BBG000BGGTW5;2431
BBG000BCQZS4;2432
BBG0026ZJ304;43
BBG000BVKXQ5;65
BBG000BT7ZK6;130
BBG000MJRJJ2;462
BBG000PLF6N0;186
BBG000BVDBY2;2432
BBG000BQ5DS5;2432
BBG000BT1715;2431
BBG000BSC0K9;2431
BBG009S3NB30;1875
BBG000H3YXF8;2432
BBG000HCJMF9;2432
BBG000BMTFR4;2432
BBG000DNLMB0;223
BBG0027F0Y27;863
BBG000BMTX31;0
