;figi;ticker;share_name;datetime;last_price;rsi_float;sell_flag;buy_flag;strategy_id;profit;currency
118;BBG000BKXBV7;ARNA;Arena Pharmaceuticals Inc;2022-06-22 13:59:29.154231;99.92;77.0831;1;0;rsi;0;usd
119;BBG000BL9C59;MAC;Macerich REIT;2022-06-22 13:59:29.194227;8.98;26.7746;0;1;rsi;0;usd
120;BBG00JRH1P95;WHD;Cactus Inc;2022-06-22 13:59:29.320228;39.72;27.3616;0;1;rsi;0;usd
121;BBG000C23DD5;EVT@DE;Evotec AG;2022-06-22 13:59:29.366229;24.0;25.7697;0;1;rsi;0;eur
122;BBG003PS7JV1;ALLE;Allegion;2022-06-22 13:59:29.403226;95.11;25.2053;0;1;rsi;0;usd
123;BBG000BFZVH8;CNMD;CONMED Corporation;2022-06-22 13:59:29.478228;89.5;26.7887;0;1;rsi;0;usd
124;BBG00BN96922;DOW;Dow Inc;2022-06-22 13:59:29.548226;56.0;25.8487;0;1;rsi;0;usd
125;BBG000C1FQS9;ETR;Entergy Corporation;2022-06-22 13:59:29.587227;104.66;27.5961;0;1;rsi;0;usd
126;BBG0019GM953;JELD;JELD-WEN Holding Inc;2022-06-22 13:59:29.605228;13.1;22.3509;0;1;rsi;0;usd
127;BBG000BKPL53;ZBH;Zimmer Biomet Holdings;2022-06-22 13:59:29.626232;102.8;27.6459;0;1;rsi;0;usd
128;BBG001B12Z39;TCMD;Tactile Systems Technology Inc;2022-06-22 13:59:29.659228;6.85;28.8544;0;1;rsi;0;usd
129;BBG000BGJRC8;CSX;CSX Corp;2022-06-22 13:59:29.679226;28.6;29.0714;0;1;rsi;0;usd
130;BBG003PGJHP5;TMHC;Taylor Morrison Home Corp;2022-06-22 13:59:29.705227;20.81;25.1666;0;1;rsi;0;usd
131;BBG00Z5KBW72;GDEV;Nexters Inc;2022-06-22 13:59:29.732241;6.38;28.7463;0;1;rsi;0;usd
132;BBG000BBX657;AMWD;American Woodmark Corp;2022-06-22 13:59:29.749238;41.7;29.5775;0;1;rsi;0;usd
133;TBG000PV2L86;TNL;Travel + Leisure Co.;2022-06-22 13:59:29.786224;39.33;28.5809;0;1;rsi;0;usd
134;BBG000BBFBD7;ALV@DE;Allianz SE;2022-06-22 13:59:29.808227;190.73;24.8796;0;1;rsi;0;eur
135;BBG00KT2SCV8;GSKY;GreenSky Inc;2022-06-22 13:59:29.834254;9.64;28.7244;0;1;rsi;0;usd
136;BBG000BF33K1;CBRL;Cracker Barrel Old Country Sto;2022-06-22 13:59:29.916254;84.41;29.4382;0;1;rsi;0;usd
137;BBG003LFWP05;BFAM;Bright Horizons Family Solutio;2022-06-22 13:59:30.066223;74.25;29.3515;0;1;rsi;0;usd
138;BBG01103B471;VSCO;Victorias Secret & Co.;2022-06-22 13:59:30.118253;32.0;28.6011;0;1;rsi;0;usd
139;BBG000BMLWX8;KBH;KB Home;2022-06-22 13:59:30.170225;25.69;25.7468;0;1;rsi;0;usd
140;BBG000PXZFW2;WLK;Westlake Corporation;2022-06-22 13:59:30.195232;99.47;22.8857;0;1;rsi;0;usd
141;BBG000RK52V1;OGKB;Вторая генерирующая компания оптового рынка электроэнергии;2022-06-22 13:59:30.223225;0.67;73.0365;1;0;rsi;0;rub
142;BBG00BN961G4;DD;DuPont de Nemours Inc;2022-06-22 13:59:30.250224;56.83;29.5888;0;1;rsi;0;usd
143;BBG000BQHTV3;OLN;Olin Corp;2022-06-22 13:59:30.309225;47.95;25.0181;0;1;rsi;0;usd
144;BBG000VFBQG4;MGNT@GS;Magnit PJSC;2022-06-22 13:59:30.424224;7.9;21.5847;0;1;rsi;0;usd
145;BBG001J2R5H3;VAC;Marriott Vacations Worldwide Corporation;2022-06-22 13:59:30.633225;114.26;29.6022;0;1;rsi;0;usd
146;BBG000J3D1Y8;OSUR;OraSure Technologies Inc;2022-06-22 13:59:30.737222;2.86;26.8003;0;1;rsi;0;usd
147;BBG000BM5SR2;IP;International Paper;2022-06-22 13:59:30.776223;41.91;29.5888;0;1;rsi;0;usd
148;BBG000C5Z443;ENOV;Enovis;2022-06-22 13:59:31.050222;55.95;28.9444;0;1;rsi;0;usd
149;BBG000BGVW60;D;Dominion Energy Inc;2022-06-22 13:59:31.106219;74.56;28.8476;0;1;rsi;0;usd
150;BBG000BD9FD1;MUV2@DE;Muenchener Rueckversicherungs-Gesellschaft AG;2022-06-22 13:59:31.255221;234.82;28.867;0;1;rsi;0;eur
151;BBG000SR0YS4;LNZLP;Лензолото - привилегированные акции;2022-06-22 13:59:31.286220;1545.0;22.9898;0;1;rsi;0;rub
152;BBG000BQW085;HAIN;Hain Celestial Group Inc;2022-06-22 13:59:31.326221;23.17;29.4666;0;1;rsi;0;usd
153;BBG001PD3L10;EVK@DE;Evonik Industries AG;2022-06-22 13:59:31.365254;25.24;21.6666;0;1;rsi;0;eur
154;BBG0016YQTR5;TPH;Tri Pointe Homes, Inc.;2022-06-22 13:59:31.403222;15.46;26.2982;0;1;rsi;0;usd
155;BBG000JYP7L8;CE;Celanese Corp;2022-06-22 13:59:31.474249;124.1;28.201;0;1;rsi;0;usd
156;BBG000FR1RP5;ADS@DE;Adidas;2022-06-22 13:59:31.497248;200.0;20.4196;0;1;rsi;0;eur
157;BBG000H3FZM6;SRCL;Stericycle;2022-06-22 13:59:31.527221;41.11;26.8507;0;1;rsi;0;usd
158;BBG000BNGTQ7;BBWI;Bath & Body Works;2022-06-22 13:59:31.615221;0.0;13.4625;0;1;rsi;0;usd
159;BBG000BP52R2;MMM;3M Company;2022-06-22 13:59:31.655218;131.0;26.8534;0;1;rsi;0;usd
160;BBG000BMBL90;ITW;Illinois Tool Works;2022-06-22 13:59:31.846218;181.46;29.6735;0;1;rsi;0;usd
161;BBG000QTF8K1;DXCM;DexCom Inc;2022-06-22 13:59:31.943219;70.3;13.4124;0;1;rsi;0;usd
